Year,Rainfall,Production,
1984,443.0,84458750.1,
1985,581.5,99768209.4,
1986,493.5,91463966.5,
1987,637.7,98941605.0,
1988,553.2,68218737.9,
1989,500.9,79133935.1,
1990,435.1,79232437.0,
1991,471.4,84771218.4,
1992,535.1,88652070.0,
1993,565.6,84195988.4,
1994,558.8,83178362.0,
1995,536.8,85884173.7,
1996,555.1,74818733.8,
1997,411.9,72231855.3,
1998,459.9,73526710.2,
1999,512.8,79302088.6,
2000,458.6,71664522.9,
2001,519.6,80579638.2,
2002,458.0,76191950.2,
2003,503.6,87731066.6,
2004,331.1,66276503.1,
2005,415.8,78137202.3,
2006,397.3,70990907.3,
2007,486.8,72731236.1,
2008,345.4,68249026.3,
2009,385.9,69623015.7,
2010,467.6,73517598.3,
2011,549.5,86411376.7,
2012,540.2,74081393.2,
2013,475.1,87586783.9,
2014,592.2,89093429.6,
2015,511.8,87696611.1,
2016,534.5,91005948.5,
